ID,Category,Stage,Filename,Status,Criticality,Scope,Rows,Columns,Size_MB,Original_Path,Package_Path,Produced_By,Used_By,Key_Columns,Description,Notes,SHA256,Duplicate_IDs
11,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient1_WSS_Native_TimeSeries.csv,Validation/Audit,Validation/audit,A1,8199,2,10.5526,/mnt/data/Patient1_WSS_Native_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient1_WSS_Native_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_1_Carreau_MR_Final(3.mph",A1 native COMSOL WSS time series used as the trusted hemodynamic source/validation reference.,,0c02314c102d2af5913f6841998b91caebfa9cf41489dd6fd57f23cd7d31d40d,
12,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient1_WSS_Timewise_Audit.csv,Validation/Audit,Validation/audit,A1,21,5,0.0017,/mnt/data/Patient1_WSS_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient1_WSS_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_WSS_Pa, spatial_median_WSS_Pa, spatial_p95_WSS_Pa, spatial_max_WSS_Pa",A1 timewise WSS audit.,,bd0a8c2bbf7c315df6746c10e7a734339b34d38f7e433d47f950026c9f0a2cf4,
13,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient2_VM_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A2,6808,2,2.9407,/mnt/data/Patient2_VM_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient2_VM_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_2_Saccular(4).mph",A2 raw VM time series used for mechanics post-processing.,,c0bdca8297bdd280aa7461f8d8f298e2605a0ab9d80ffe7116cbefafb93efd43,
14,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient2_VM_Timewise_Audit.csv,Validation/Audit,Validation/audit,A2,21,5,0.0017,/mnt/data/Patient2_VM_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient2_VM_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_VM_Pa, spatial_median_VM_Pa, spatial_p95_VM_Pa, spatial_max_VM_Pa",A2 timewise VM audit.,,f43e2edd0c5c67041d245cd4124a54de033fcc531829e366f289564238143fb5,
15,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient2_WSS_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A2,6808,2,34.8757,/mnt/data/Patient2_WSS_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient2_WSS_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_2_Saccular(4).mph",A2 raw gradient-based WSS reconstruction time series.,,9f118bc7a2304a1fe826be02375d2dde7e1c754eeeb011fd5400470a394434a2,
16,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient2_TAWSS_Carreau.csv,Validation/Audit,Validation/audit,A2,6808,2,0.8096,/mnt/data/Patient2_TAWSS_Carreau.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient2_TAWSS_Carreau.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_2_Saccular(4).mph",A2 Carreau-model TAWSS intermediate/verification table.,,7a26e9f81b71054be1bf2e67b52ed1881cbfea4b8ebecc9ac5803a2ffd4d92ac,
17,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_VM_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A3,3211,2,1.3649,/mnt/data/Patient3_VM_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_VM_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_3_Carreau_Final.mph",A3 raw VM time series.,,8fba819f7ff6a4e9f245ae425331f7b8930ad9435121f0c96cb72a497fb24fd7,
18,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_VM_Timewise_Audit.csv,Validation/Audit,Validation/audit,A3,21,6,0.002,/mnt/data/Patient3_VM_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_VM_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_VM_Pa, spatial_median_VM_Pa, spatial_p95_VM_Pa, spatial_p99_VM_Pa, spatial_max_VM_Pa",A3 timewise VM audit.,,d4305b647698ab52cd00e4c4106a8af57a8316d5aec012001ebc15552d4c1600,
19,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_WSS_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A3,3211,2,16.4564,/mnt/data/Patient3_WSS_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_WSS_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_3_Carreau_Final.mph",A3 raw gradient-based WSS time series.,,ad47d651f962510517765f4a68ed26f290d92fa5b799b6f71d9bdc74b7b30f24,
20,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_WSS_Native_TimeSeries.csv,Validation/Audit,Validation/audit,A3,3211,2,4.1014,/mnt/data/Patient3_WSS_Native_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_WSS_Native_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_3_Carreau_Final.mph",A3 native COMSOL WSS time series for reconstruction agreement validation.,,7cec6b0320a32b97252f13e47d83825418d64598fef9a46a1bf6c91c7bef4991,
21,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_WSS_MethodValidation.csv,Validation/Audit,Validation/audit,A3,3203,12,0.7209,/mnt/data/Patient3_WSS_MethodValidation.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_WSS_MethodValidation.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"x_mm, y_mm, z_mm, TAWSS_native_Pa, TAWSS_gradient_Pa, TAWSS_abs_diff_Pa, OSI_native, OSI_gradient, OSI_abs_diff, RRT_native_1_per_Pa, RRT_gradient_1_per_Pa, RRT_abs_diff_1_per_Pa",A3 pointwise native-vs-reconstructed WSS validation.,,13a623d2f9290964b30f88a04354d41a0d0a7d546b1bd747ccaf05d5d2b1df28,
22,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_WSS_MethodValidation_Timewise.csv,Validation/Audit,Validation/audit,A3,21,7,0.0025,/mnt/data/Patient3_WSS_MethodValidation_Timewise.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_WSS_MethodValidation_Timewise.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, native_mean_WSS_Pa, gradient_mean_WSS_Pa, native_p95_WSS_Pa, gradient_p95_WSS_Pa, native_max_WSS_Pa, gradient_max_WSS_Pa",A3 timewise summary of native-vs-reconstructed WSS agreement.,,dc81bab671821c3770fb65cd8e1c09697c77e6e099e8ce7b597e1bbc777f0e45,
23,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient3_WSS_Timewise_Audit.csv,Validation/Audit,Validation/audit,A3,21,7,0.0026,/mnt/data/Patient3_WSS_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient3_WSS_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_WSS_Pa, spatial_median_WSS_Pa, spatial_p95_WSS_Pa, spatial_max_WSS_Pa, spatial_mean_mu_app_Pa_s, spatial_median_mu_app_Pa_s",A3 temporal WSS audit.,,7581c9c690f35108f142e1a919b9f473d4910e58f3fd1a95625daa2bc1b5c404,
24,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_VM_Raw_TimeSeries(1).csv,Validation/Audit,Validation/audit,A4,4063,2,1.7321,/mnt/data/Patient4_VM_Raw_TimeSeries(1).csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_VM_Raw_TimeSeries(1).csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_4_Carreau_Main_Final.mph",Corrected A4 raw VM time series corresponding to 4055 inner-wall nodes.,,5e184d3f01fc101a2906ff99e0ed5bcf01d1fe19be77fe1efa9aacb9ce5dc483,
25,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_VM_Timewise_Audit_v2.csv,Validation/Audit,Validation/audit,A4,21,6,0.002,/mnt/data/Patient4_VM_Timewise_Audit_v2.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_VM_Timewise_Audit_v2.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_VM_Pa, spatial_median_VM_Pa, spatial_p95_VM_Pa, spatial_p99_VM_Pa, spatial_max_VM_Pa",A4 VM timewise audit based on corrected export.,,0e560f10750654ddd0beec68e3546dc9397bf7193809a41ffcbbb763f48b3fc9,
26,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_WSS_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A4,4063,2,20.7035,/mnt/data/Patient4_WSS_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_WSS_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_4_Carreau_Main_Final.mph",A4 raw gradient-based WSS time series.,,472b5b0915e5c82ef3529256291de517d031cfbb46d21c9bc8ec726f26d06192,
27,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_WSS_Native_TimeSeries.csv,Validation/Audit,Validation/audit,A4,4063,2,5.1738,/mnt/data/Patient4_WSS_Native_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_WSS_Native_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_4_Carreau_Main_Final.mph",A4 native COMSOL WSS time series for method validation.,,ea82297bba8ce7f047f4a0e4fb41f89ebd0d549230b3c153d55e1d5a87a6d45e,
28,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_WSS_MethodValidation.csv,Validation/Audit,Validation/audit,A4,4055,12,0.9196,/mnt/data/Patient4_WSS_MethodValidation.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_WSS_MethodValidation.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"x_mm, y_mm, z_mm, TAWSS_native_Pa, TAWSS_gradient_Pa, TAWSS_abs_diff_Pa, OSI_native, OSI_gradient, OSI_abs_diff, RRT_native_1_per_Pa, RRT_gradient_1_per_Pa, RRT_abs_diff_1_per_Pa",A4 pointwise native-vs-reconstructed WSS validation.,,7a46fa11fbdd26848f4546d8c85d83bc6f533895c4c7aceadab82010bd352b6e,
29,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_WSS_MethodValidation_Timewise.csv,Validation/Audit,Validation/audit,A4,21,7,0.0025,/mnt/data/Patient4_WSS_MethodValidation_Timewise.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_WSS_MethodValidation_Timewise.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, native_mean_WSS_Pa, gradient_mean_WSS_Pa, native_p95_WSS_Pa, gradient_p95_WSS_Pa, native_max_WSS_Pa, gradient_max_WSS_Pa",A4 timewise native-vs-reconstructed WSS agreement summary.,,99f2942a173c8a0cad26bf239aed16ae186313f9197096a1d69bd5c91978a177,
30,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient4_WSS_Timewise_Audit.csv,Validation/Audit,Validation/audit,A4,21,7,0.0025,/mnt/data/Patient4_WSS_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient4_WSS_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_WSS_Pa, spatial_median_WSS_Pa, spatial_p95_WSS_Pa, spatial_max_WSS_Pa, spatial_mean_mu_app_Pa_s, spatial_median_mu_app_Pa_s",A4 temporal WSS audit.,,bc691da72a2bb1009fd8c3c43d0bf1518e33f98283200f667183c72d4ce90464,
31,03_DigitalTwin_V1,V1 cross-anatomy prior,P123_Training_Table.csv,Current/Canonical,Core model output,A1–A3 development,18194,32,10.1401,/mnt/data/DigitalTwin_V1/P123_Training_Table.csv,spreadsheets_original_csv/03_DigitalTwin_V1/P123_Training_Table.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"x_mm, y_mm, z_mm, s_norm, dist_nearest_end, radial_norm, local_radius_over_length, local_radius_over_median, local_radius_over_large_end, local_radius_gradient, curvature_1_per_mm, curvature_radius, curvature_side, tangent_alignment_main_axis, centerline_length_mm, mean_radius_over_length, max_radius_over_length, global_expansion_ratio ...","Primary development table containing 18,194 A1–A3 inner-wall nodes, coordinates, 21 geometry-derived features, anatomy identifiers, and FSI targets. It is the main input for LightGBM development and anatomy-level LOAO analysis.",,cc91017f0c78af23fecaf54d020926d43df13f95bec421a8bdcdb44a2972a070,
32,03_DigitalTwin_V1,V1 cross-anatomy prior,P4_Locked_Test_Features.csv,Current/Canonical,Core model output,A4,4055,25,1.7607,/mnt/data/DigitalTwin_V1/P4_Locked_Test_Features.csv,spreadsheets_original_csv/03_DigitalTwin_V1/P4_Locked_Test_Features.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"x_mm, y_mm, z_mm, patient, s_norm, dist_nearest_end, radial_norm, local_radius_over_length, local_radius_over_median, local_radius_over_large_end, local_radius_gradient, curvature_1_per_mm, curvature_radius, curvature_side, tangent_alignment_main_axis, centerline_length_mm, mean_radius_over_length, max_radius_over_length ...",A4 geometry-only feature table with target columns excluded from model input. It is the geometry input used for target-excluded zero-shot inference on the separate anatomy.,"In manuscript V10, the corrected selected-tree-count analysis is primary; historical 450-tree outputs are retained only as a sensitivity/reproducibility audit.",3bb2e58149ff30ae3dda3f8a0d665f5b8bd276e675a2f4a2e6fb2e14656532c6,72
33,03_DigitalTwin_V1,V1 cross-anatomy prior,LOPO_CV_AllCandidates.csv,Current/Canonical,Core model output,Project-wide,63,9,0.0084,/mnt/data/DigitalTwin_V1/LOPO_CV_AllCandidates.csv,spreadsheets_original_csv/03_DigitalTwin_V1/LOPO_CV_AllCandidates.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"target, candidate, val_patient, R2, MAE, RMSE, Spearman, Top10_overlap, NMAE",Complete development-only LightGBM candidate-evaluation results for every target and leave-one-anatomy-out fold.,,a8a8acdbee2f5fd171c817c876e23f232f8493b86be21648249831b463b88a05,
34,03_DigitalTwin_V1,V1 cross-anatomy prior,LOPO_SelectedModels.csv,Current/Canonical,Core model output,Project-wide,7,7,0.0009,/mnt/data/DigitalTwin_V1/LOPO_SelectedModels.csv,spreadsheets_original_csv/03_DigitalTwin_V1/LOPO_SelectedModels.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"target, selected_model, mean_R2, mean_MAE, mean_Spearman, mean_Top10_overlap, mean_NMAE",Summary of the target-specific LightGBM candidate selected from development-only LOAO metrics.,,f3d85c1cd4914f298fca98938485461b769a6c00115838bf7bccfba54a6bae53,
35,03_DigitalTwin_V1,V1 cross-anatomy prior,LOPO_OOF_Predictions.csv,Current/Canonical,Core model output,Project-wide,29786,18,8.9444,/mnt/data/DigitalTwin_V1/LOPO_OOF_Predictions.csv,spreadsheets_original_csv/03_DigitalTwin_V1/LOPO_OOF_Predictions.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"patient, x_mm, y_mm, z_mm, TAWSS_vector_Pa_truth, TAWSS_vector_Pa_pred, OSI_truth, OSI_pred, RRT_1_per_Pa_truth, RRT_1_per_Pa_pred, peak_WSS_magnitude_Pa_truth, peak_WSS_magnitude_Pa_pred, VM_cycle_max_Pa_truth, VM_cycle_max_Pa_pred, VM_stress_amplitude_Pa_truth, VM_stress_amplitude_Pa_pred, VM_temporal_mean_Pa_truth, VM_temporal_mean_Pa_pred","Selected out-of-fold predictions for A1–A3, used for development diagnostics, residual analysis, and later calibration-related audits.",,9ba814ce3391fd24e7788842f4efeeac52edd76055ea1e5cf35611e8d771c1e2,
36,03_DigitalTwin_V1,V1 cross-anatomy prior,P4_DigitalTwin_Predictions.csv,Current/Canonical,Core model output,A4,4055,24,1.757,/mnt/data/DigitalTwin_V1/P4_DigitalTwin_Predictions.csv,spreadsheets_original_csv/03_DigitalTwin_V1/P4_DigitalTwin_Predictions.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"x_mm, y_mm, z_mm, TAWSS_vector_Pa_pred, TAWSS_vector_Pa_lo90, TAWSS_vector_Pa_hi90, OSI_pred, OSI_lo90, OSI_hi90, RRT_1_per_Pa_pred, RRT_1_per_Pa_lo90, RRT_1_per_Pa_hi90, peak_WSS_magnitude_Pa_pred, peak_WSS_magnitude_Pa_lo90, peak_WSS_magnitude_Pa_hi90, VM_cycle_max_Pa_pred, VM_cycle_max_Pa_lo90, VM_cycle_max_Pa_hi90 ...","Historical V1 zero-shot A4 predictions, including the V1 prediction fields and historical residual-band bounds. Retained for reproducibility and sensitivity auditing.","In manuscript V10, the corrected selected-tree-count analysis is primary; historical 450-tree outputs are retained only as a sensitivity/reproducibility audit.",fb754e498d04148ae313959d7660e945e00e77caeab24d4e10c10f757df280c4,
37,03_DigitalTwin_V1,V1 cross-anatomy prior,P4_LOCKED_TEST_METRICS.csv,Current/Canonical,Core model output,A4,7,7,0.001,/mnt/data/DigitalTwin_V1/P4_LOCKED_TEST_METRICS.csv,spreadsheets_original_csv/03_DigitalTwin_V1/P4_LOCKED_TEST_METRICS.csv,01_digital_twin_v1_original.py,V1 reporting; V2 personalization; V3/reviewer analyses,"R2, MAE, RMSE, Spearman, Top10_overlap, Interval90_coverage, target",Historical V1 A4 zero-shot performance metrics. Retained to document the original locked-test run and compare it with the corrected final-refit analysis.,"In manuscript V10, the corrected selected-tree-count analysis is primary; historical 450-tree outputs are retained only as a sensitivity/reproducibility audit.",29a3b94bfb874490dc3db1bd9a302c7240eb596e5a3c94183c02ab20d54c7e73,
38,04_DigitalTwin_V2,V2 sparse personalization,P123_Personalization_LOPO.csv,Current/Canonical,Core model output,A1–A3 development,84,9,0.0098,/mnt/data/DigitalTwin_V2_Personalized/P123_Personalization_LOPO.csv,spreadsheets_original_csv/04_DigitalTwin_V2/P123_Personalization_LOPO.csv,02_digital_twin_v2_personalized_original.py,V2 report; V3; reviewer baselines; figures,"val_patient, target, calibration_fraction, n_calibration, R2, MAE, RMSE, Spearman, Top10_overlap","Detailed A1–A3 LOAO sparse-personalization results for every target and calibration fraction (1%, 2%, 5%, and 10%), evaluated on non-anchor nodes.",,62c878f83f0d0ac7b343c0bf85253a38af0eb2424a8338097eedf8ce75c9901d,
